Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Major,761,5.0,4.0,2.0,2.0,2.0,5.0,6
A,Major,762,9.0,0.0,2.0,2.0,2.0,5.0,6
A,Major,763,5.0,4.0,7.0,6.0,5.0,5.0,6
A,Major,764,5.0,4.0,7.0,6.0,10.0,0.0,6
A,Major,765,5.0,4.0,7.0,9.0,2.0,5.0,6
A,Major,766,9.0,0.0,7.0,6.0,5.0,5.0,6
A,Major,767,9.0,0.0,7.0,6.0,10.0,0.0,6
A,Major,768,9.0,0.0,7.0,9.0,2.0,5.0,6
A,Major,769,5.0,4.0,2.0,2.0,10.0,9.0,6
A,Major,770,9.0,0.0,2.0,2.0,10.0,9.0,6
A,Major,771,5.0,4.0,7.0,9.0,10.0,9.0,6
A,Major,772,9.0,0.0,7.0,9.0,10.0,9.0,6
A,Major,773,5.0,4.0,2.0,2.0,5.0,5.0,6
A,Major,774,5.0,4.0,2.0,2.0,10.0,0.0,6
A,Major,775,9.0,0.0,2.0,2.0,5.0,5.0,6
A,Major,776,9.0,0.0,2.0,2.0,10.0,0.0,6
A,Major,777,0.0,0.0,7.0,6.0,10.0,9.0,6
A,Major,778,5.0,7.0,7.0,6.0,10.0,9.0,6
A,Major,779,0.0,0.0,2.0,2.0,2.0,5.0,6
A,Major,780,0.0,0.0,7.0,6.0,5.0,5.0,6
A,Major,781,0.0,0.0,7.0,6.0,10.0,0.0,6
A,Major,782,0.0,0.0,7.0,9.0,2.0,5.0,6
A,Major,783,5.0,7.0,7.0,6.0,5.0,5.0,6
A,Major,784,5.0,7.0,7.0,6.0,10.0,0.0,6
A,Major,785,5.0,7.0,7.0,9.0,2.0,5.0,6
A,Major,786,0.0,0.0,2.0,2.0,10.0,9.0,6
A,Major,787,0.0,0.0,7.0,9.0,10.0,9.0,6
A,Major,788,5.0,7.0,7.0,9.0,10.0,9.0,6
A,Major,789,5.0,4.0,2.0,2.0,2.0,9.0,6
A,Major,790,9.0,0.0,2.0,2.0,2.0,9.0,6
A,Major,791,5.0,4.0,7.0,6.0,5.0,9.0,6
A,Major,792,5.0,4.0,7.0,9.0,2.0,9.0,6
A,Major,793,9.0,0.0,7.0,6.0,5.0,9.0,6
A,Major,794,9.0,0.0,7.0,9.0,2.0,9.0,6
A,Major,795,5.0,4.0,2.0,2.0,2.0,0.0,6
A,Major,796,9.0,0.0,2.0,2.0,2.0,0.0,6
A,Major,797,5.0,4.0,2.0,2.0,5.0,9.0,6
A,Major,798,9.0,0.0,2.0,2.0,5.0,9.0,6
A,Major,799,0.0,0.0,2.0,2.0,2.0,9.0,6
A,Major,800,0.0,0.0,7.0,6.0,5.0,9.0,6
A,Major,801,0.0,0.0,7.0,9.0,2.0,9.0,6
A,Major,802,5.0,7.0,7.0,6.0,5.0,9.0,6
A,Major,803,5.0,7.0,7.0,9.0,2.0,9.0,6
A,Major,804,0.0,0.0,2.0,2.0,2.0,0.0,6
A,Major,805,0.0,0.0,2.0,2.0,5.0,9.0,6
A,Major,806,5.0,4.0,2.0,6.0,10.0,9.0,6
A,Major,807,9.0,0.0,2.0,6.0,10.0,9.0,6
A,Major,808,5.0,4.0,2.0,6.0,5.0,5.0,6
A,Major,809,5.0,4.0,2.0,6.0,10.0,0.0,6
A,Major,810,5.0,4.0,2.0,9.0,2.0,5.0,6
A,Major,811,9.0,0.0,2.0,6.0,5.0,5.0,6
A,Major,812,9.0,0.0,2.0,6.0,10.0,0.0,6
A,Major,813,9.0,0.0,2.0,9.0,2.0,5.0,6
A,Major,814,5.0,4.0,2.0,9.0,10.0,9.0,6
A,Major,815,9.0,0.0,2.0,9.0,10.0,9.0,6
A,Major,816,0.0,0.0,2.0,6.0,10.0,9.0,6
A,Major,817,0.0,0.0,2.0,6.0,5.0,5.0,6
A,Major,818,0.0,0.0,2.0,6.0,10.0,0.0,6
A,Major,819,0.0,0.0,2.0,9.0,2.0,5.0,6
A,Major,820,0.0,0.0,2.0,9.0,10.0,9.0,6
A,Major,821,5.0,4.0,2.0,6.0,5.0,9.0,6
A,Major,822,5.0,4.0,2.0,9.0,2.0,9.0,6
A,Major,823,9.0,0.0,2.0,6.0,5.0,9.0,6
A,Major,824,9.0,0.0,2.0,9.0,2.0,9.0,6
A,Major,825,0.0,0.0,2.0,6.0,5.0,9.0,6
A,Major,826,0.0,0.0,2.0,9.0,2.0,9.0,6
A,Major,827,0.0,4.0,7.0,6.0,10.0,9.0,6
A,Major,828,9.0,7.0,7.0,6.0,10.0,9.0,6
A,Major,829,0.0,4.0,2.0,2.0,2.0,5.0,6
A,Major,830,0.0,4.0,7.0,6.0,5.0,5.0,6
A,Major,831,0.0,4.0,7.0,6.0,10.0,0.0,6
A,Major,832,0.0,4.0,7.0,9.0,2.0,5.0,6
A,Major,833,9.0,7.0,7.0,6.0,5.0,5.0,6
A,Major,834,9.0,7.0,7.0,6.0,10.0,0.0,6
A,Major,835,9.0,7.0,7.0,9.0,2.0,5.0,6
A,Major,836,0.0,4.0,2.0,2.0,10.0,9.0,6
A,Major,837,0.0,4.0,7.0,9.0,10.0,9.0,6
A,Major,838,9.0,7.0,7.0,9.0,10.0,9.0,6
A,Major,839,0.0,4.0,2.0,2.0,5.0,5.0,6
A,Major,840,0.0,4.0,2.0,2.0,10.0,0.0,6
A,Major,841,0.0,7.0,7.0,6.0,10.0,9.0,6
A,Major,842,0.0,7.0,7.0,6.0,5.0,5.0,6
A,Major,843,0.0,7.0,7.0,6.0,10.0,0.0,6
A,Major,844,0.0,7.0,7.0,9.0,2.0,5.0,6
A,Major,845,0.0,7.0,7.0,9.0,10.0,9.0,6
A,Major,846,0.0,4.0,2.0,2.0,2.0,9.0,6
A,Major,847,0.0,4.0,7.0,6.0,5.0,9.0,6
A,Major,848,0.0,4.0,7.0,9.0,2.0,9.0,6
A,Major,849,9.0,7.0,7.0,6.0,5.0,9.0,6
A,Major,850,9.0,7.0,7.0,9.0,2.0,9.0,6
A,Major,851,0.0,4.0,2.0,2.0,2.0,0.0,6
A,Major,852,0.0,4.0,2.0,2.0,5.0,9.0,6
A,Major,853,0.0,7.0,7.0,6.0,5.0,9.0,6
A,Major,854,0.0,7.0,7.0,9.0,2.0,9.0,6
A,Major,855,0.0,4.0,2.0,6.0,10.0,9.0,6
A,Major,856,0.0,4.0,2.0,6.0,5.0,5.0,6
A,Major,857,0.0,4.0,2.0,6.0,10.0,0.0,6
A,Major,858,0.0,4.0,2.0,9.0,2.0,5.0,6
A,Major,859,0.0,4.0,2.0,9.0,10.0,9.0,6
A,Minor,958,5.0,3.0,2.0,2.0,1.0,5.0,6
A,Minor,959,8.0,0.0,2.0,2.0,1.0,5.0,6
