Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings,Inversion
A,M,573,5.0,4.0,2.0,2.0,2.0,5.0,6,0
A,M,574,9.0,0.0,2.0,2.0,2.0,5.0,6,0
A,M,575,5.0,4.0,7.0,6.0,5.0,5.0,6,0
A,M,576,5.0,4.0,7.0,9.0,2.0,5.0,6,0
A,M,577,9.0,0.0,7.0,6.0,5.0,5.0,6,0
A,M,578,9.0,0.0,7.0,9.0,2.0,5.0,6,0
A,M,579,5.0,4.0,2.0,2.0,5.0,5.0,6,0
A,M,580,9.0,0.0,2.0,2.0,5.0,5.0,6,0
A,M,584,5.0,7.0,7.0,6.0,5.0,5.0,6,0
A,M,585,5.0,7.0,7.0,9.0,2.0,5.0,6,0
A,M,586,5.0,4.0,2.0,2.0,2.0,9.0,6,0
A,M,587,9.0,0.0,2.0,2.0,2.0,9.0,6,0
A,M,588,5.0,4.0,7.0,6.0,5.0,9.0,6,0
A,M,589,5.0,4.0,7.0,9.0,2.0,9.0,6,0
A,M,590,9.0,0.0,7.0,6.0,5.0,9.0,6,0
A,M,591,9.0,0.0,7.0,9.0,2.0,9.0,6,0
A,M,592,5.0,4.0,2.0,2.0,2.0,0.0,6,0
A,M,593,9.0,0.0,2.0,2.0,2.0,0.0,6,0
A,M,594,5.0,4.0,2.0,2.0,5.0,9.0,6,0
A,M,595,9.0,0.0,2.0,2.0,5.0,9.0,6,0
A,M,599,5.0,7.0,7.0,6.0,5.0,9.0,6,0
A,M,600,5.0,7.0,7.0,9.0,2.0,9.0,6,0
A,M,603,5.0,4.0,2.0,6.0,5.0,5.0,6,0
A,M,604,5.0,4.0,2.0,9.0,2.0,5.0,6,0
A,M,605,9.0,0.0,2.0,6.0,5.0,5.0,6,0
A,M,606,9.0,0.0,2.0,9.0,2.0,5.0,6,0
A,M,609,5.0,4.0,2.0,6.0,5.0,9.0,6,0
A,M,610,5.0,4.0,2.0,9.0,2.0,9.0,6,0
A,M,611,9.0,0.0,2.0,6.0,5.0,9.0,6,0
A,M,612,9.0,0.0,2.0,9.0,2.0,9.0,6,0
A,m,573,5.0,3.0,2.0,2.0,1.0,5.0,6,0
A,m,574,8.0,0.0,2.0,2.0,1.0,5.0,6,0
A,m,575,5.0,3.0,7.0,5.0,5.0,5.0,6,0
A,m,576,5.0,3.0,7.0,9.0,1.0,5.0,6,0
A,m,577,8.0,0.0,7.0,5.0,5.0,5.0,6,0
A,m,578,8.0,0.0,7.0,9.0,1.0,5.0,6,0
A,m,579,5.0,3.0,2.0,2.0,5.0,5.0,6,0
A,m,580,8.0,0.0,2.0,2.0,5.0,5.0,6,0
A,m,584,5.0,7.0,7.0,5.0,5.0,5.0,6,0
A,m,585,5.0,7.0,7.0,9.0,1.0,5.0,6,0
A,m,586,5.0,3.0,2.0,2.0,1.0,8.0,6,0
A,m,587,8.0,0.0,2.0,2.0,1.0,8.0,6,0
A,m,588,5.0,3.0,7.0,5.0,5.0,8.0,6,0
A,m,589,5.0,3.0,7.0,9.0,1.0,8.0,6,0
A,m,590,8.0,0.0,7.0,5.0,5.0,8.0,6,0
A,m,591,8.0,0.0,7.0,9.0,1.0,8.0,6,0
A,m,592,5.0,3.0,2.0,2.0,1.0,0.0,6,0
A,m,593,8.0,0.0,2.0,2.0,1.0,0.0,6,0
A,m,594,5.0,3.0,2.0,2.0,5.0,8.0,6,0
A,m,595,8.0,0.0,2.0,2.0,5.0,8.0,6,0
A,m,599,5.0,7.0,7.0,5.0,5.0,8.0,6,0
A,m,600,5.0,7.0,7.0,9.0,1.0,8.0,6,0
A,m,603,5.0,3.0,2.0,5.0,5.0,5.0,6,0
A,m,604,5.0,3.0,2.0,9.0,1.0,5.0,6,0
A,m,605,8.0,0.0,2.0,5.0,5.0,5.0,6,0
A,m,606,8.0,0.0,2.0,9.0,1.0,5.0,6,0
A,m,609,5.0,3.0,2.0,5.0,5.0,8.0,6,0
A,m,610,5.0,3.0,2.0,9.0,1.0,8.0,6,0
A,m,611,8.0,0.0,2.0,5.0,5.0,8.0,6,0
A,m,612,8.0,0.0,2.0,9.0,1.0,8.0,6,0
A,7,783,5.0,4.0,2.0,2.0,8.0,5.0,6,0
A,7,784,9.0,0.0,2.0,2.0,8.0,5.0,6,0
A,7,785,5.0,4.0,5.0,2.0,5.0,5.0,6,0
A,7,786,5.0,4.0,7.0,0.0,5.0,5.0,6,0
A,7,787,9.0,0.0,5.0,2.0,5.0,5.0,6,0
A,7,788,9.0,0.0,7.0,0.0,5.0,5.0,6,0
A,7,789,5.0,4.0,7.0,9.0,8.0,5.0,6,0
A,7,790,9.0,0.0,7.0,9.0,8.0,5.0,6,0
A,7,795,5.0,7.0,5.0,2.0,2.0,5.0,6,0
A,7,796,5.0,7.0,7.0,0.0,2.0,5.0,6,0
A,7,797,5.0,7.0,7.0,6.0,8.0,5.0,6,0
A,7,800,5.0,4.0,2.0,2.0,2.0,3.0,6,0
A,7,801,9.0,0.0,2.0,2.0,2.0,3.0,6,0
A,7,802,5.0,4.0,5.0,2.0,2.0,0.0,6,0
A,7,803,5.0,4.0,7.0,0.0,2.0,0.0,6,0
A,7,804,9.0,0.0,5.0,2.0,2.0,0.0,6,0
A,7,805,9.0,0.0,7.0,0.0,2.0,0.0,6,0
A,7,806,5.0,4.0,7.0,6.0,5.0,3.0,6,0
A,7,807,5.0,4.0,7.0,6.0,8.0,0.0,6,0
A,7,808,5.0,4.0,7.0,9.0,2.0,3.0,6,0
A,7,809,9.0,0.0,7.0,6.0,5.0,3.0,6,0
A,7,810,9.0,0.0,7.0,6.0,8.0,0.0,6,0
A,7,811,9.0,0.0,7.0,9.0,2.0,3.0,6,0
A,7,812,5.0,4.0,2.0,2.0,8.0,9.0,6,0
A,7,813,9.0,0.0,2.0,2.0,8.0,9.0,6,0
A,7,814,5.0,4.0,5.0,2.0,5.0,9.0,6,0
A,7,815,5.0,4.0,7.0,0.0,5.0,9.0,6,0
A,7,816,9.0,0.0,5.0,2.0,5.0,9.0,6,0
A,7,817,9.0,0.0,7.0,0.0,5.0,9.0,6,0
A,7,818,5.0,4.0,7.0,9.0,8.0,9.0,6,0
A,7,819,9.0,0.0,7.0,9.0,8.0,9.0,6,0
A,7,820,5.0,4.0,2.0,2.0,5.0,3.0,6,0
A,7,821,5.0,4.0,2.0,2.0,8.0,0.0,6,0
A,7,822,9.0,0.0,2.0,2.0,5.0,3.0,6,0
A,7,823,9.0,0.0,2.0,2.0,8.0,0.0,6,0
A,7,824,5.0,4.0,5.0,2.0,5.0,3.0,6,0
A,7,825,5.0,4.0,5.0,2.0,8.0,0.0,6,0
A,7,826,5.0,4.0,7.0,0.0,5.0,3.0,6,0
A,7,827,5.0,4.0,7.0,0.0,8.0,0.0,6,0
A,7,828,9.0,0.0,5.0,2.0,5.0,3.0,6,0
A,7,829,9.0,0.0,5.0,2.0,8.0,0.0,6,0
A,7,830,9.0,0.0,7.0,0.0,5.0,3.0,6,0
A,7,831,9.0,0.0,7.0,0.0,8.0,0.0,6,0
A,7,836,5.0,7.0,5.0,2.0,2.0,9.0,6,0
A,7,837,5.0,7.0,7.0,0.0,2.0,9.0,6,0
A,7,838,5.0,7.0,7.0,6.0,8.0,9.0,6,0
A,7,850,5.0,7.0,5.0,2.0,2.0,0.0,6,0
A,7,851,5.0,7.0,7.0,0.0,2.0,0.0,6,0
A,7,852,5.0,7.0,7.0,6.0,5.0,3.0,6,0
A,7,853,5.0,7.0,7.0,6.0,8.0,0.0,6,0
A,7,854,5.0,7.0,7.0,9.0,2.0,3.0,6,0
A,7,856,5.0,7.0,5.0,2.0,2.0,3.0,6,0
A,7,857,5.0,7.0,7.0,0.0,2.0,3.0,6,0
A,7,870,5.0,7.0,5.0,2.0,5.0,9.0,6,0
A,7,871,5.0,7.0,7.0,0.0,5.0,9.0,6,0
A,7,872,5.0,7.0,7.0,9.0,8.0,9.0,6,0
A,7,874,5.0,7.0,5.0,2.0,8.0,9.0,6,0
A,7,875,5.0,7.0,7.0,0.0,8.0,9.0,6,0
A,7,879,5.0,4.0,2.0,0.0,2.0,5.0,6,0
A,7,880,9.0,0.0,2.0,0.0,2.0,5.0,6,0
A,7,881,5.0,4.0,2.0,6.0,8.0,5.0,6,0
A,7,882,9.0,0.0,2.0,6.0,8.0,5.0,6,0
A,7,883,5.0,4.0,5.0,6.0,5.0,5.0,6,0
A,7,884,5.0,4.0,5.0,9.0,2.0,5.0,6,0
A,7,885,9.0,0.0,5.0,6.0,5.0,5.0,6,0
A,7,886,9.0,0.0,5.0,9.0,2.0,5.0,6,0
A,7,887,5.0,4.0,2.0,0.0,5.0,5.0,6,0
A,7,888,9.0,0.0,2.0,0.0,5.0,5.0,6,0
A,7,889,5.0,4.0,2.0,9.0,8.0,5.0,6,0
A,7,890,9.0,0.0,2.0,9.0,8.0,5.0,6,0
A,7,891,5.0,4.0,2.0,0.0,8.0,5.0,6,0
A,7,892,9.0,0.0,2.0,0.0,8.0,5.0,6,0
A,7,893,5.0,4.0,5.0,9.0,8.0,5.0,6,0
A,7,894,9.0,0.0,5.0,9.0,8.0,5.0,6,0
A,7,902,5.0,7.0,5.0,6.0,5.0,5.0,6,0
