LETTER,TYPE,INVERSION,STRINGONE,STRINGTWO,STRINGTHREE,STRINGFOUR,STRINGFIVE,STRINGSIX,SHAPE
A,Major,0,5.0,4.0,2.0,2.0,2.0,5.0,573
A,Major,0,9.0,0.0,2.0,2.0,2.0,5.0,574
A,Major,0,5.0,4.0,7.0,6.0,5.0,5.0,575
A,Major,0,5.0,4.0,7.0,9.0,2.0,5.0,576
A,Major,0,9.0,0.0,7.0,6.0,5.0,5.0,577
A,Major,0,9.0,0.0,7.0,9.0,2.0,5.0,578
A,Major,0,5.0,4.0,2.0,2.0,5.0,5.0,579
A,Major,0,9.0,0.0,2.0,2.0,5.0,5.0,580
A,Major,0,0.0,0.0,2.0,2.0,2.0,5.0,581
A,Major,0,0.0,0.0,7.0,6.0,5.0,5.0,582
A,Major,0,0.0,0.0,7.0,9.0,2.0,5.0,583
A,Major,0,5.0,7.0,7.0,6.0,5.0,5.0,584
A,Major,0,5.0,7.0,7.0,9.0,2.0,5.0,585
A,Major,0,5.0,4.0,2.0,2.0,2.0,9.0,586
A,Major,0,9.0,0.0,2.0,2.0,2.0,9.0,587
A,Major,0,5.0,4.0,7.0,6.0,5.0,9.0,588
A,Major,0,5.0,4.0,7.0,9.0,2.0,9.0,589
A,Major,0,9.0,0.0,7.0,6.0,5.0,9.0,590
A,Major,0,9.0,0.0,7.0,9.0,2.0,9.0,591
A,Major,0,5.0,4.0,2.0,2.0,2.0,0.0,592
A,Major,0,9.0,0.0,2.0,2.0,2.0,0.0,593
A,Major,0,5.0,4.0,2.0,2.0,5.0,9.0,594
A,Major,0,9.0,0.0,2.0,2.0,5.0,9.0,595
A,Major,0,0.0,0.0,2.0,2.0,2.0,9.0,596
A,Major,0,0.0,0.0,7.0,6.0,5.0,9.0,597
A,Major,0,0.0,0.0,7.0,9.0,2.0,9.0,598
A,Major,0,5.0,7.0,7.0,6.0,5.0,9.0,599
A,Major,0,5.0,7.0,7.0,9.0,2.0,9.0,600
A,Major,0,0.0,0.0,2.0,2.0,2.0,0.0,601
A,Major,0,0.0,0.0,2.0,2.0,5.0,9.0,602
A,Major,0,5.0,4.0,2.0,6.0,5.0,5.0,603
A,Major,0,5.0,4.0,2.0,9.0,2.0,5.0,604
A,Major,0,9.0,0.0,2.0,6.0,5.0,5.0,605
A,Major,0,9.0,0.0,2.0,9.0,2.0,5.0,606
A,Major,0,0.0,0.0,2.0,6.0,5.0,5.0,607
A,Major,0,0.0,0.0,2.0,9.0,2.0,5.0,608
A,Major,0,5.0,4.0,2.0,6.0,5.0,9.0,609
A,Major,0,5.0,4.0,2.0,9.0,2.0,9.0,610
A,Major,0,9.0,0.0,2.0,6.0,5.0,9.0,611
A,Major,0,9.0,0.0,2.0,9.0,2.0,9.0,612
A,Major,0,0.0,0.0,2.0,6.0,5.0,9.0,613
A,Major,0,0.0,0.0,2.0,9.0,2.0,9.0,614
A,Major,0,0.0,4.0,2.0,2.0,2.0,5.0,615
A,Major,0,0.0,4.0,7.0,6.0,5.0,5.0,616
A,Major,0,0.0,4.0,7.0,9.0,2.0,5.0,617
A,Major,0,9.0,7.0,7.0,6.0,5.0,5.0,618
A,Major,0,9.0,7.0,7.0,9.0,2.0,5.0,619
A,Major,0,0.0,4.0,2.0,2.0,5.0,5.0,620
A,Major,0,0.0,7.0,7.0,6.0,5.0,5.0,621
A,Major,0,0.0,7.0,7.0,9.0,2.0,5.0,622
A,Major,0,0.0,4.0,2.0,2.0,2.0,9.0,623
A,Major,0,0.0,4.0,7.0,6.0,5.0,9.0,624
A,Major,0,0.0,4.0,7.0,9.0,2.0,9.0,625
A,Major,0,9.0,7.0,7.0,6.0,5.0,9.0,626
A,Major,0,9.0,7.0,7.0,9.0,2.0,9.0,627
A,Major,0,0.0,4.0,2.0,2.0,2.0,0.0,628
A,Major,0,0.0,4.0,2.0,2.0,5.0,9.0,629
A,Major,0,0.0,7.0,7.0,6.0,5.0,9.0,630
A,Major,0,0.0,7.0,7.0,9.0,2.0,9.0,631
A,Major,0,0.0,4.0,2.0,6.0,5.0,5.0,632
A,Major,0,0.0,4.0,2.0,9.0,2.0,5.0,633
A,Minor,0,5.0,3.0,2.0,2.0,1.0,5.0,573
A,Minor,0,8.0,0.0,2.0,2.0,1.0,5.0,574
A,Minor,0,5.0,3.0,7.0,5.0,5.0,5.0,575
A,Minor,0,5.0,3.0,7.0,9.0,1.0,5.0,576
A,Minor,0,8.0,0.0,7.0,5.0,5.0,5.0,577
A,Minor,0,8.0,0.0,7.0,9.0,1.0,5.0,578
A,Minor,0,5.0,3.0,2.0,2.0,5.0,5.0,579
