Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings,Inversion
A#,M,0,1.0,1.0,0.0,X,X,X,3,1
A#,M,1,6.0,5.0,3.0,X,X,X,3,0
A#,M,2,6.0,8.0,0.0,X,X,X,3,0
A#,M,3,6.0,5.0,X,X,6.0,X,3,0
A#,M,4,6.0,5.0,X,X,X,1.0,3,0
A#,M,5,6.0,X,0.0,X,6.0,X,3,0
A#,M,6,6.0,X,0.0,X,X,1.0,3,0
A#,M,7,X,1.0,0.0,X,6.0,X,3,0
A#,M,8,X,1.0,0.0,X,X,1.0,3,0
A#,M,9,1.0,1.0,X,7.0,X,X,3,1
A#,M,10,1.0,1.0,X,X,3.0,X,3,1
A#,M,11,6.0,8.0,X,7.0,X,X,3,0
A#,M,12,6.0,8.0,X,X,3.0,X,3,0
A#,M,13,6.0,X,3.0,7.0,X,X,3,0
A#,M,14,6.0,X,3.0,X,3.0,X,3,0
A#,M,15,X,1.0,3.0,7.0,X,X,3,0
A#,M,16,X,1.0,3.0,X,3.0,X,3,0
A#,M,17,6.0,X,X,7.0,6.0,X,3,0
A#,M,18,6.0,X,X,7.0,X,1.0,3,0
A#,M,19,6.0,X,X,X,3.0,1.0,3,0
A#,M,20,X,1.0,X,7.0,6.0,X,3,0
A#,M,21,X,1.0,X,7.0,X,1.0,3,0
A#,M,22,X,1.0,X,X,3.0,1.0,3,0
A#,M,23,1.0,5.0,8.0,X,X,X,3,1
A#,M,24,1.0,5.0,X,3.0,X,X,3,1
A#,M,25,1.0,X,0.0,3.0,X,X,3,1
A#,M,26,X,5.0,3.0,3.0,X,X,3,1
A#,M,27,X,8.0,0.0,3.0,X,X,3,1
A#,M,28,X,5.0,8.0,X,6.0,X,3,1
A#,M,29,X,5.0,8.0,X,X,1.0,3,1
A#,M,30,X,5.0,X,3.0,6.0,X,3,1
A#,M,31,X,5.0,X,3.0,X,1.0,3,1
A#,M,32,X,X,0.0,3.0,6.0,X,3,1
A#,M,33,X,X,0.0,3.0,X,1.0,3,1
A#,M,34,1.0,X,8.0,7.0,X,X,3,1
A#,M,35,1.0,X,8.0,X,3.0,X,3,1
A#,M,36,1.0,X,X,3.0,3.0,X,3,1
A#,M,37,X,8.0,8.0,7.0,X,X,3,1
A#,M,38,X,8.0,8.0,X,3.0,X,3,1
A#,M,39,X,8.0,X,3.0,3.0,X,3,1
A#,M,40,X,X,3.0,3.0,3.0,X,3,1
A#,M,41,X,X,8.0,7.0,6.0,X,3,0
A#,M,42,X,X,8.0,7.0,X,1.0,3,0
A#,M,43,X,X,8.0,X,3.0,1.0,3,0
A#,M,44,X,X,X,3.0,3.0,1.0,3,0
A#,M,45,1.0,5.0,X,X,X,6.0,3,1
A#,M,46,1.0,X,0.0,X,X,6.0,3,1
A#,M,47,X,5.0,3.0,X,X,6.0,3,1
A#,M,48,X,8.0,0.0,X,X,6.0,3,1
A#,M,49,X,5.0,X,X,6.0,6.0,3,1
A#,M,50,X,X,0.0,X,6.0,6.0,3,1
A#,M,51,1.0,X,X,7.0,X,6.0,3,1
A#,M,52,1.0,X,X,X,3.0,6.0,3,1
A#,M,53,X,8.0,X,7.0,X,6.0,3,1
A#,M,54,X,8.0,X,X,3.0,6.0,3,1
A#,M,55,X,X,3.0,7.0,X,6.0,3,1
A#,M,56,X,X,3.0,X,3.0,6.0,3,1
A#,M,57,X,X,X,7.0,6.0,6.0,3,1
A#,M,58,1.0,1.0,0.0,3.0,X,X,4,1
A#,M,59,6.0,5.0,3.0,3.0,X,X,4,0
A#,M,60,6.0,8.0,0.0,3.0,X,X,4,0
A#,M,61,6.0,5.0,8.0,X,6.0,X,4,0
A#,M,62,6.0,5.0,8.0,X,X,1.0,4,0
A#,M,63,6.0,5.0,X,3.0,6.0,X,4,0
A#,M,64,6.0,5.0,X,3.0,X,1.0,4,0
A#,M,65,6.0,X,0.0,3.0,6.0,X,4,0
A#,M,66,6.0,X,0.0,3.0,X,1.0,4,0
A#,M,67,X,1.0,0.0,3.0,6.0,X,4,0
