Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,M,406,X,0.0,2.0,2.0,2.0,0.0,5
C,M,416,X,3.0,5.0,5.0,5.0,3.0,5
E,M,615,X,7.0,9.0,9.0,9.0,7.0,5
E,M,734,0.0,2.0,2.0,1.0,0.0,0.0,6
F,M,460,1.0,3.0,3.0,2.0,1.0,1.0,6
F#,M,460,2.0,4.0,4.0,3.0,2.0,2.0,6
G,M,426,3.0,5.0,5.0,4.0,3.0,3.0,6
G#,M,341,4.0,6.0,6.0,5.0,4.0,4.0,6
A,M,584,5.0,7.0,7.0,6.0,5.0,5.0,6
A#,M,343,6.0,8.0,8.0,7.0,6.0,6.0,6
B,M,432,7.0,9.0,9.0,8.0,7.0,7.0,6
C,M,385,X,3.0,2.0,0.0,1.0,0.0,5
G,M,423,3.0,2.0,0.0,0.0,3.0,3.0,6
A,m,406,0.0,0.0,2.0,2.0,1.0,0.0,5
C,m,253,0.0,3.0,5.0,5.0,4.0,3.0,5
E,m,615,0.0,7.0,9.0,9.0,8.0,7.0,5
E,m,734,0.0,2.0,2.0,0.0,0.0,0.0,6
F,m,458,1.0,3.0,3.0,1.0,1.0,1.0,6
F#,m,460,2.0,4.0,4.0,2.0,2.0,2.0,6
G,m,340,3.0,5.0,5.0,3.0,3.0,3.0,6
G#,m,426,4.0,6.0,6.0,4.0,4.0,4.0,6
A,m,584,5.0,7.0,7.0,5.0,5.0,5.0,6
A#,m,462,6.0,8.0,8.0,6.0,6.0,6.0,6
B,m,432,7.0,9.0,9.0,7.0,7.0,7.0,6
A,M7,429,0.0,0.0,2.0,1.0,2.0,0.0,5
C,M7,549,0.0,3.0,5.0,4.0,5.0,3.0,5
E,M7,549,0.0,7.0,9.0,8.0,9.0,7.0,5
E,M7,670,0.0,2.0,1.0,1.0,0.0,0.0,5
F,M7,835,1.0,3.0,2.0,2.0,1.0,1.0,6
F#,M7,650,2.0,4.0,3.0,3.0,2.0,2.0,6
G,M7,677,3.0,5.0,4.0,4.0,3.0,3.0,6
G#,M7,533,4.0,6.0,5.0,5.0,4.0,4.0,6
A,M7,902,5.0,7.0,6.0,6.0,5.0,5.0,6
A#,M7,547,6.0,8.0,7.0,7.0,6.0,6.0,6
B,M7,706,7.0,9.0,8.0,8.0,7.0,7.0,6
C,M7,434,0.0,3.0,2.0,0.0,0.0,0.0,5
E,M7,494,0.0,7.0,6.0,4.0,4.0,4.0,5
F,M7,517,0.0,8.0,7.0,5.0,5.0,5.0,5
G,M7,633,3.0,2.0,0.0,0.0,0.0,2.0,6
G,M7,640,3.0,2.0,0.0,0.0,3.0,2.0,6
B,m7,432,7.0,0.0,0.0,7.0,7.0,5.0,6
